tweetid	tweetid-href	tweetername	tweeterhandle	tweetbody	numberoflikes	numberofretweets	timeoftweet	
8. feb.	https://twitter.com/shc2012/status/829255294962302978	Søren HøjlundCarlsen	@shc2012	Kom med vores sundhedssektor på arbejde http://stiften.dk/sport/Vi-skal-levere-friske-konkurrencedygtige-spillere/artikel/435830 … ( $ Betalingsartikel). #ultratwitteragf	0	0	1486544843	
8. feb.	https://twitter.com/MortenKock/status/829254843025993731	Morten Kock	@MortenKock	Havde snak m #Aros om forestående start på anden halvdel af sæsonen, vi tror på Jer #AGF #ultratwitteragf #ViFraAarhusAGF #aarhus #VoresLigapic.twitter.com/ySANo0FksC	8	0	1486544736	
8. feb.	https://twitter.com/AGFFodbold/status/829241598668107776	AGF	@AGFFodbold	De her 11 starter inde, når vi kl. 13 i dag møder Örebro i den sidste testkamp på træningslejren. #ksdh #ultratwitteragf pic.twitter.com/erBD6kyicW	4	0	1486541578	
7. feb.	https://twitter.com/shc2012/status/828997079276068864	Søren HøjlundCarlsen	@shc2012	#chefen #ultratwitteragf https://twitter.com/agffodbold/status/828995774176489473 …	6	0	1486483280	
6. feb.	https://twitter.com/SuneHansen84/status/828660749786574848	Sune Hansen	@SuneHansen84	AGF er første hold i Champions League finalen i Cardiff i år. Alle afvisninger af dette er FAKE NEWS! #ultratwitteragf #ksdh @AGFFodbold	1	0	1486403093	
6. feb.	https://twitter.com/ThomasLund71/status/828579162269028352	Thomas Lund Hansen	@ThomasLund71	Flot portræt af Duncan - Rundt om 'Duncan': En vinder, en Ferguson i feltet #ultratwitteragf #sldkhttp://stiften.dk/artikel/435313 	11	2	1486383641	
6. feb.	https://twitter.com/MedianoFodbold/status/828556636792946688	Mediano	@MedianoFodbold	Mere #sldk. I dag med fokus på #achorsens, #vff, #fcn, #randersfc, #efb #lyngbybk og #ultratwitteragf. Lyt med! http://www.mediano.nu/oversigt/2017/2/6/superliga-podcast …	11	1	1486378270	
6. feb.	https://twitter.com/KimRobin75/status/828553303588032513	Kim Robin Graahede	@KimRobin75	#ultratwitteragf AGFs kamp mod Örebro er flyttet fra tirsdag aften til onsdag 12.00. Meget fedt, når jeg skal flyve hjem onsdag morgen :-)	6	0	1486377476	
5. feb.	https://twitter.com/laianders/status/828304908914982912	Anders Lai	@laianders	Er også kun forventnings- og fortrøstningsfuld #ultratwitteragf http://www.tipsbladet.dk/node/274525/appview …	0	0	1486318254	
5. feb.	https://twitter.com/KimRobin75/status/828285879416397824	Kim Robin Graahede	@KimRobin75	"#ultratwitteragf #sldk Har igen skrevet langt. Det handler om ""Duncan"", mest om ungdomsårene.(Plus-artikel): http://stiften.dk/sport/Rundt-om-Duncan-En-vinder-en-Ferguson-i-feltet/artikel/435313 …"	4	0	1486313717	
5. feb.	https://twitter.com/laianders/status/828242511789510656	Anders Lai	@laianders	Trods nederlag er der mange gode ting vi kan tage med os - ud fra uddraget at bedømme #ultratwitteragf https://twitter.com/agffodbold/status/828039784958459904 …	0	0	1486303377	
5. feb.	https://twitter.com/AGFFodbold/status/828189412018249728	AGF	@AGFFodbold	Fik du set Glen Riddersholm og Steffen Rasmussen forholde sig til testkampen mod @debreceni? https://youtu.be/dWPCqxNkqyM  #ksdh #ultratwitteragf	2	0	1486290717	
5. feb.	https://twitter.com/TaTHSK/status/828182991209906177	Kenny Laursen	@TaTHSK	Det er useriøst hvis vi ikke allerede er igang med at klone en ny. #ultratwitteragf #ksdhhttps://twitter.com/bold_agf/status/828163434491629568 …	0	0	1486289186	
5. feb.	https://twitter.com/JesperEngmann/status/828178106347315201	Jesper Engmann	@JesperEngmann	Lørdag aften i Lagoa: AGF-reservernes ubarmhjertige job http://jp.dk/d?id=9343162  #ultratwitteragf	2	0	1486288022	
5. feb.	https://twitter.com/FMHorup/status/828125491299246080	Fodbold med Horup	@FMHorup	Det blev lørdag aften til endnu et nederlag for @AGFFodbold på træningslejren i Portugal - http://www.tv2oj.dk/artikel/ungarer-slog-agf-i-testkamp-se-maal-og-hoejdepunkter-her … #sldk #ultratwitteragf	0	0	1486275477	
5. feb.	https://twitter.com/AGFFodbold/status/828039784958459904	AGF	@AGFFodbold	Så er der uddrag fra vores testkamp mod @debreceni https://youtu.be/ux23udpoQ5o . I morgen er vi klar med reaktioner. #ultratwitteragf #ksdh	2	0	1486255043	
4. feb.	https://twitter.com/KarstenHj/status/827994828499800076	Karsten Hjortshøj	@KarstenHj	Du @RasmusTantholdt , din næste bog bliver det, hvordan du scorer en kollega??? #DenKøberJeg #Respekt #Ultratwitteragf #BeMyWingman	0	0	1486244325	
4. feb.	https://twitter.com/HolstHaars/status/827984408707735562	Chr. Holst Haarsløv	@HolstHaars	Det var dråben! Stop nu med at tro, at han kan spille angriber #ultratwitterAGF	0	0	1486241840	
4. feb.	https://twitter.com/klausmors/status/827971371099680768	Klaus Mors	@klausmors	Gætter på, at Junker kommer til at spille en del på kanten i foråret, medmindre Chris O. & Bundu bliver outstanding #ultratwitteragf	0	0	1486238732	
4. feb.	https://twitter.com/AGFFodbold/status/827966081121804288	AGF	@AGFFodbold	Så er vi i gang i Portugal, hvor regnen er stilnet af. Det er de her 11, der starter inde #ksdh #ultratwitteragf #agfdebpic.twitter.com/jNKVipBX8U	8	2	1486237471	
4. feb.	https://twitter.com/SuneHansen84/status/827956921902698496	Sune Hansen	@SuneHansen84	"Stærkt med ""Kom så de hviiie!!!"" fra @RasmusTantholdt i Danmarks Indsamlingen... :D #ksdh #ultratwitteragf"	1	0	1486235287	
4. feb.	https://twitter.com/goerlitz/status/827953602056560641	Görlitz	@goerlitz	Tænk hvis vi havde sådan et stadion i Aarhus… (billedet er taget uden zoom på The Hawthornes i dag). #ultratwitteragf #ksdhpic.twitter.com/nPsNXE0pkL	14	0	1486234496	
4. feb.	https://twitter.com/laianders/status/827942013697945600	Anders Lai	@laianders	Så gjorde @JesperLange det sgu' igen. Kasse! Og så endda i bortre burgaveln. Hjem til Aarhus. Tak! #verdensbedstelange #ultratwitteragf https://twitter.com/helsingborgsif/status/827881028127690753 …	3	0	1486231733	
4. feb.	https://twitter.com/shc2012/status/827929740724019201	Søren HøjlundCarlsen	@shc2012	Har mødt nogen flittige og dygtige unge fodbolddrenge. #ultratwitteragf #ksdhhttps://twitter.com/agffodbold/status/827929342621732864 …	6	0	1486228807	
4. feb.	https://twitter.com/laianders/status/827796036957663232	Anders Lai	@laianders	15 dage endnu!!! #ultratwitteragf #sldk #ksdh	1	0	1486196929	
4. feb.	https://twitter.com/tipsbladet/status/827790588338647040	tipsbladet.dk	@tipsbladet	Riddersholm: Der findes ikke nogen idealopstilling http://www.tipsbladet.dk/nyhed/superliga/riddersholm-der-findes-ikke-nogen-idealopstilling … #sldk #ultratwitteragf	1	0	1486195630	
3. feb.	https://twitter.com/KimRobin75/status/827607953301786625	Kim Robin Graahede	@KimRobin75	#ultratwitteragf #sldk Ham her vil give det bedste, han har, til AGF i foråret, selvom han til sommer skal til SIF:http://stiften.dk/agf/Stephan-Petersen-Jeg-elsker-jo-den-her-klub/artikel/435224 …	2	0	1486152086	
3. feb.	https://twitter.com/KimRobin75/status/827578468779118592	Kim Robin Graahede	@KimRobin75	#ultratwitteragf #sldk Én holdning - blandt mange - omkring det overståede transfervindue hos AGF:http://stiften.dk/agf/Kommentar-Et-vellykket-vindue-er-ikke-noedvendigvis-et-hvor-man-bruger-penge/artikel/435171 …	4	1	1486145057	
3. feb.	https://twitter.com/mufcdk/status/827533544171913218	Martin Hansen	@mufcdk	Vand på min mølle (hvilket jeg også har været inde på) #SpotOn #ultratwitteragf #sldkhttps://twitter.com/StiftenAGF/status/827532363894697985 …	7	1	1486134346	
3. feb.	https://twitter.com/KimRobin75/status/827533027601416193	Kim Robin Graahede	@KimRobin75	#ultratwitteragf Mikkel Rask om at abstrahere fra folks holdninger og om at vende fodbolden ryggen (bet. artikel): http://stiften.dk/agf/Dengang-de-spurgte-Mikkel-om-han-var-fuldstaendig-idiot/artikel/435025 …	0	0	1486134223	
3. feb.	https://twitter.com/KimRobin75/status/827531672832921600	Kim Robin Graahede	@KimRobin75	#ultratwitteragf AGF-start-11'er mod Debrecen lørdag: Staff-Buur,EC,Dzhamaldin,Thøgersen-Stage-Junker,Olsen,Bjarnason,Petersen-Zacho	3	0	1486133900	
3. feb.	https://twitter.com/shc2012/status/827516819296702466	Søren HøjlundCarlsen	@shc2012	En af fordelene ved at være på træningslejr i mit nye job er, at der er tid til at drikke en kop kaffe med en målmand #ultratwitteragf https://twitter.com/AGFFodbold/status/827516249966014464 …	6	0	1486130358	
3. feb.	https://twitter.com/B_Helbo/status/827479882087202817	Bjørn Helbo	@B_Helbo	Hvis bare min weekend bliver halvt så vild som scoringen og Graulunds udbrud #weekend #ultratwitteragf #ksdhhttps://www.youtube.com/watch?v=hWc_mfK-4ow …	2	0	1486121552	
3. feb.	https://twitter.com/MedianoFodbold/status/827466448083750913	Mediano	@MedianoFodbold	Transferstatus i #sldk. Brüchmann og Dickoh taler #ob, #bif, #fcm, #ultratwitteragf og meget andet http://www.mediano.nu/oversigt/2017/2/3/superliga-transfer-fokus-simon-poulsen … #transferdk	10	3	1486118349	
2. feb.	https://twitter.com/tipsbladet/status/827143497408970752	tipsbladet.dk	@tipsbladet	Bjarnason drømmer stadig om udlandet: Har ikke hørt fra AGF. #sldk #ultratwitteragf http://www.tipsbladet.dk/nyhed/superliga/bjarnason-droemmer-stadig-om-udlandet-har-ikke-hoert-fra-agf …	0	0	1486041352	
2. feb.	https://twitter.com/AGFFodbold/status/827102232474689537	AGF	@AGFFodbold	Mikkel Rask om gårsdagens debut i 0-3 nederlaget til @HNKRijekaPUS . https://youtu.be/Ff66_Beabuc  #ksdh #ultratwitteragf	0	0	1486031513	
2. feb.	https://twitter.com/HenningA_DK/status/827092379857457152	Henning Andersen	@HenningA_DK	Det var et stille januarvindue hos @AGFFodbold #ultratwitteragf #sldkpic.twitter.com/I4MXLF9rM2	4	0	1486029164	
2. feb.	https://twitter.com/laianders/status/827077451712978945	Anders Lai	@laianders	Synes Glen har en pointe m. attituden og tændingen. Ser video fra kampen. Savner bl.a. knyttede næver/rygdunk ved redninger #ultratwitteragf	1	0	1486025605	
1. feb.	https://twitter.com/PeterSvith/status/826888333355806722	Peter Svith	@PeterSvith	Fint gensyn med Josip Elez på @stiftendk hvor han forklarer mere om, hvorfor han ikke blev i #ultratwitteragf http://stiften.dk/agf/Tidligere-AGFer-Elez-Den-helt-rigtige-beslutning/artikel/434581 …	1	0	1485980516	
1. feb.	https://twitter.com/HolstHaars/status/826834211873120256	Chr. Holst Haarsløv	@HolstHaars	Godt at se at Glen også får trænet i kontakt med fjerdedommeren #ultratwitterAGF	2	0	1485967612	
1. feb.	https://twitter.com/SuneMadsen86/status/826826106577756161	Sune Madsen	@SuneMadsen86	Kan man se kampen mellem Rijeka og @AGFFodbold et sted på nettet? #ultratwitteragf #SuperligaKomTilbage #sldk	1	0	1485965680	
1. feb.	https://twitter.com/AGFFodbold/status/826810186836934657	AGF	@AGFFodbold	Game on... #ksdh #ultratwitteragf pic.twitter.com/3vZy2YoRbX	11	0	1485961884	
1. feb.	https://twitter.com/BPDue/status/826807322559258625	Bjørn Due	@BPDue	Har jeg misset noget omkring Stephphpan Petersen? #ultratwitteragf	0	0	1485961201	
1. feb.	https://twitter.com/laianders/status/826795475638616064	Anders Lai	@laianders	Loch Glen! Love it! #ultratwitteragf http://stiften.dk/artikel/434700 	0	0	1485958377	
1. feb.	https://twitter.com/shc2012/status/826776562636832768	Søren HøjlundCarlsen	@shc2012	#gameday. Du kan følge kampen her på Twitter, på stream og i mine tanker, hvis du er langdistance-clairvoyant. #ksdh #ultratwitteragf https://twitter.com/agffodbold/status/826762777733783552 …	5	0	1485953867	
1. feb.	https://twitter.com/AGFFodbold/status/826762777733783552	AGF	@AGFFodbold	Vores start-11'er til dagens kamp mod @HNKRijekaPUS. Der er kick-off kl. 17. Følg kampen på https://www.footballtv.org  #ksdh #ultratwitteragf pic.twitter.com/UBTgwJjST5	10	3	1485950581	
1. feb.	https://twitter.com/laianders/status/826758114867310592	Anders Lai	@laianders	Interessante udmeldinger om fremtiden #ultratwitteragf Transfervinduet er lukket: PC gør status https://www.youtube.com/watch?v=xmyj_SPAfKY&feature=share …	1	0	1485949469	
1. feb.	https://twitter.com/shc2012/status/826734707752697856	Søren HøjlundCarlsen	@shc2012	Det gør vi alle. #ultratwitteragf https://twitter.com/kimrobin75/status/826734287785439232 …	3	0	1485943888	
1. feb.	https://twitter.com/KimRobin75/status/826734287785439232	Kim Robin Graahede	@KimRobin75	#ultratwitteragf Kampdag i Portugal for AGF. Og Glen, han glæder sig...http://stiften.dk/sport/Riddersholm-foer-kamp-En-perfekt-test-for-os/artikel/434582 …	3	0	1485943788	
