tweetid;tweetid-href;tweetername;tweeterhandle;tweetbody;numberoflikes;numberofretweets;timeoftweet
5. mar. 2016;https://twitter.com/madslethdk/status/706395585339920384;Mads Leth Jakobsen;@madslethdk;Great privilege to award innovation prizes to inspiring AU students at #fosia16 #aarhusuni pic.twitter.com/FMHa3JT1bk;3;0;1457252806
3. mar. 2016;https://twitter.com/AnnePeddersen/status/705353200019312640;Anne Pedersen;@AnnePeddersen;Dagens #bogmærke #fund #bibliotek #aulnobel #aarhusuniversitylibrary #aarhusuni pic.twitter.com/HWbz1wat6H;2;0;1457004282
2. mar. 2016;https://twitter.com/Olefrank/status/705302955524825089;Ole Frank Nielsen;@Olefrank;Great line-up at #headstartdk morning seminar. Do save the dates in May for #iwdk - #aarhusuni will be there as well pic.twitter.com/3JPpY6M1ki;5;1;1456992303
2. mar. 2016;https://twitter.com/TDMArts/status/705040284032364544;CUDiM;@TDMArts;Hvad kan projektet StuDIY tilbyde de studerende? https://pages-tdm.au.dk/tdm/studerende-paa-arts-tilbydes-gratis-studiekompetencekurser/ … #aarhusuni #unipæd;0;0;1456929677
2. mar. 2016;https://twitter.com/mdlarsen/status/705029814424616960;martin d larsen;@mdlarsen;Richard Jenkins talk on (Danish) identity & best hotdogs in Denmark - #aarhusuni #anthropology #moesgaardpic.twitter.com/UX1ZDb486d;1;0;1456927181
1. mar. 2016;https://twitter.com/irg1s/status/704745976913903616;EIRIK J. IRGENS;@irg1s;Sandbjerg gods, #Aarhusuni kurssenter. Eget gods-noe å tenke på, #NTNU?pic.twitter.com/dRKC73QDat;0;0;1456859509
29. feb. 2016;https://twitter.com/Studentervaekst/status/704609692622974977;Student Incubator;@Studentervaekst;Elite athletes have the possibility to apply for a flexible educational boundaries i.e. in terms of min. ECTSpoints pr. semester #aarhusuni;0;0;1456827016
29. feb. 2016;https://twitter.com/Studentervaekst/status/704609068787376128;Student Incubator;@Studentervaekst;Kirstine and Jens are on stage right now! #AarhusUni #aueship #studentervaekst #svaa #ICEE;0;0;1456826867
29. feb. 2016;https://twitter.com/Studentervaekst/status/704603637037854721;Student Incubator;@Studentervaekst;We have two representatives from #AarhusUni. Kirstine and Jens are going to talk about creating better conditions for #studententrepreneurs;0;0;1456825572
29. feb. 2016;https://twitter.com/AarhusUni/status/704581834429087744;Aarhus Universitet;@AarhusUni;Tillykke til #AarhusUni modtagerne af @DFF_raad's postdoc-stipendier 2016 - se hvem her: http://ufm.dk/forskning-og-innovation/rad-og-udvalg/det-frie-forskningsrad/nyt-fra-radet/pressemeddelelser-fra-dff/det-frie-forskningsrad-nyskabende-forskning-far-120-mio-kr … #dkforsk;1;1;1456820374
29. feb. 2016;https://twitter.com/Ditte_Engholm/status/704377101827383297;Ditte Høyer Engholm;@Ditte_Engholm;På @videnskabdk kan man nu se første etape af mine #tegneserier :) #uniliv #PhD #yourniversity #aarhusuni https://twitter.com/Tuffmann/status/704270758885900288 …;5;2;1456771562
29. feb. 2016;https://twitter.com/Olefrank/status/704325079765786624;Ole Frank Nielsen;@Olefrank;Fornemmer at mu-samtalerne er ret korte på biologi #aarhusuni @AUstudieliv @KasparOttosen #piv #nårkattenerindehttps://twitter.com/austudieliv/status/704318774300770304 …;2;0;1456759159
26. feb. 2016;https://twitter.com/AarhusUni/status/703247210922823680;Aarhus Universitet;@AarhusUni;Velkommen Mads Hareskov - ny formand for @AUStudenterraad. Læs om ham i @OmnibusAU #aarhusuni https://twitter.com/omnibusau/status/703209091951431680 …;4;0;1456502175
